salary,car,label
5391,1471,reasonable consumption
3601,4527,overspending
3830,1760,reasonable consumption
4459,7266,overspending
4103,4017,overspending
3800,5932,overspending
3823,1714,reasonable consumption
5272,2894,general
4984,4490,overspending
3759,7993,overspending
3862,5208,overspending
3672,4728,overspending
3922,4826,overspending
3619,4976,overspending
4049,5003,overspending
5151,6113,overspending
3752,4028,overspending
4347,7420,overspending
5350,7184,overspending
4858,3810,overspending
3837,7792,overspending
5427,4761,overspending
5466,4892,overspending
3643,6352,overspending
5132,4146,overspending
5126,6192,overspending
5093,3417,general
4639,3748,overspending
4754,4716,overspending
4439,5294,overspending
3662,2431,general
5158,5862,overspending
4876,7694,overspending
4476,4173,overspending
3854,3348,overspending
3921,7086,overspending
5154,2289,reasonable consumption
5047,2443,reasonable consumption
4900,6648,overspending
4818,3022,general
4207,1242,reasonable consumption
3870,4575,overspending
4470,2746,general
4157,7046,overspending
4942,7447,overspending
3549,4120,overspending
4357,1277,reasonable consumption
4018,1710,reasonable consumption
3747,4195,overspending
3727,3992,overspending
5446,4024,overspending
3597,4094,overspending
4572,2020,reasonable consumption
3581,1644,reasonable consumption
3986,5481,overspending
4414,4216,overspending
4313,1904,reasonable consumption
5384,4947,overspending
4531,3870,overspending
4208,3143,overspending
5002,5887,overspending
4202,4328,overspending
4219,6676,overspending
5348,3967,overspending
4959,3571,overspending
3683,2901,overspending
5360,7345,overspending
3836,2121,general
4066,2355,general
3762,6501,overspending
4357,7421,overspending
4253,4415,overspending
4818,4673,overspending
3529,7119,overspending
5118,6741,overspending
4581,6333,overspending
5181,6729,overspending
4317,1848,reasonable consumption
4019,3346,overspending
5246,4170,overspending
5155,5536,overspending
4909,7061,overspending
3893,5767,overspending
4124,3692,overspending
4802,5326,overspending
5225,4076,overspending
4414,5349,overspending
3695,6266,overspending
5031,4758,overspending
5320,3685,general
4837,4044,overspending
5203,1294,reasonable consumption
5065,1793,reasonable consumption
4214,7113,overspending
4530,1854,reasonable consumption
5340,6449,overspending
3911,3287,overspending
3901,6646,overspending
4612,2093,reasonable consumption
5196,6725,overspending
4270,4482,overspending
3904,6128,overspending
4299,3625,overspending
4601,5579,overspending
4348,7002,overspending
4134,6124,overspending
5464,2337,reasonable consumption
5450,4846,overspending
4446,3045,general
4172,6327,overspending
5094,3601,overspending
4786,3413,overspending
4684,6378,overspending
5361,2370,reasonable consumption
4062,7435,overspending
3641,1580,reasonable consumption
4421,5015,overspending
3913,7396,overspending
5476,6992,overspending
5476,7287,overspending
5036,6894,overspending
5015,5075,overspending
5482,5066,overspending
3737,6840,overspending
4651,3682,overspending
5328,3898,overspending
4180,7168,overspending
4995,4740,overspending
3825,1644,reasonable consumption
4046,5799,overspending
4912,4614,overspending
5485,4223,overspending
5198,6103,overspending
5058,3240,general
5056,5612,overspending
4863,1340,reasonable consumption
4990,5667,overspending
4854,3029,general
5039,6021,overspending
4245,5454,overspending
5103,2101,reasonable consumption
3758,3801,overspending
5165,6474,overspending
5365,5164,overspending
4795,7398,overspending
4079,3714,overspending
3505,6987,overspending
5359,5394,overspending
3837,4435,overspending
4112,5335,overspending
4958,4035,overspending
3609,3097,overspending
5057,6059,overspending
4614,4681,overspending
5152,1584,reasonable consumption
3756,1326,reasonable consumption
4946,2954,general
4128,2329,general
4047,2310,general
4411,6008,overspending
5109,2414,reasonable consumption
5313,4346,overspending
4009,2440,general
3722,5313,overspending
4411,5979,overspending
3524,2987,overspending
4830,2107,reasonable consumption
4955,5404,overspending
5010,6330,overspending
4511,5412,overspending
4793,5758,overspending
5408,6905,overspending
4623,6994,overspending
3529,1580,reasonable consumption
4477,5178,overspending
4841,1783,reasonable consumption
4367,2799,general
3953,6172,overspending
3587,1205,reasonable consumption
4845,3933,overspending
5314,1740,reasonable consumption
5265,5625,overspending
4226,2644,general
4282,1645,reasonable consumption
3665,5272,overspending
3629,3725,overspending
4829,2153,reasonable consumption
4145,3221,overspending
3534,3095,overspending
5281,4636,overspending
4224,5951,overspending
3681,4441,overspending
4772,5971,overspending
5180,4114,overspending
3505,5323,overspending
3722,7223,overspending
4214,5510,overspending
5056,5087,overspending
5495,1803,reasonable consumption
4462,5675,overspending
4089,1669,reasonable consumption
3833,1807,reasonable consumption
4774,6449,overspending
4066,5176,overspending
5062,1655,reasonable consumption
4374,7720,overspending
4369,6954,overspending
4773,7321,overspending
3633,5416,overspending
5028,4770,overspending
3673,2690,overspending
3598,3662,overspending
3891,5139,overspending
5130,4378,overspending
4464,7439,overspending
4971,6833,overspending
3661,6146,overspending
5344,3775,overspending
4272,3974,overspending
3719,5170,overspending
4014,5544,overspending
3548,7693,overspending
4668,2127,reasonable consumption
3828,2142,general
4901,6872,overspending
4056,7849,overspending
3963,4774,overspending
5043,3680,overspending
5434,2706,reasonable consumption
3548,2152,general
5379,2587,reasonable consumption
5446,1558,reasonable consumption
4936,5755,overspending
4564,1284,reasonable consumption
4946,1461,reasonable consumption
4136,2563,general
5082,5604,overspending
4583,4730,overspending
4059,2900,overspending
3590,4679,overspending
4325,5712,overspending
3829,3159,overspending
4857,5264,overspending
5224,5415,overspending
3916,2743,overspending
3544,1493,reasonable consumption
3984,5720,overspending
4284,4721,overspending
4651,2134,reasonable consumption
5406,3284,general
5294,5914,overspending
3984,2668,general
4807,1214,reasonable consumption
5363,4686,overspending
5413,1622,reasonable consumption
3867,5954,overspending
4271,1242,reasonable consumption
4948,4482,overspending
5035,1958,reasonable consumption
4141,6996,overspending
5377,7304,overspending
4888,5199,overspending
3632,2291,general
4261,6632,overspending
3569,4718,overspending
4775,5176,overspending
4065,5782,overspending
3768,4288,overspending
5333,7443,overspending
4452,7877,overspending
5451,2895,general
3661,5293,overspending
4046,7216,overspending
3664,2762,overspending
4911,2161,reasonable consumption
5035,3131,general
4131,4536,overspending
4792,5166,overspending
4200,4754,overspending
4058,3463,overspending
3542,2081,general
4055,7114,overspending
3577,1444,reasonable consumption
3722,4022,overspending
